url,pick,team,year,pos,player,college,missing_combine_vals,height_inches,weight,forty,vertical,bench,broad,threecone,shuttle,defense.ast.tackles,defense.fum.forced,defense.fum.rec,defense.fum.tds,defense.fum.yds,defense.games,defense.int,defense.int.td,defense.int.yards,defense.loss.tackles,defense.pd,defense.sacks,defense.seasons,defense.solo.tackes,defense.tackles,passing.attempts,passing.comp.pct,passing.completions,passing.games,passing.pass.ints,passing.pass.tds,passing.pass.yards,passing.seasons,receiving.games,receiving.rec.td,receiving.rec.yards,receiving.receptions,receiving.rush.att,receiving.rush.td,receiving.rush.yds,receiving.scrim.plays,receiving.scrim.tds,receiving.scrim.yds,receiving.seasons,rushing.games,rushing.rec.td,rushing.rec.yards,rushing.receptions,rushing.rush.att,rushing.rush.td,rushing.rush.yds,rushing.scrim.plays,rushing.scrim.tds,rushing.scrim.yds,rushing.seasons,num_murders,purple.drank.incidents,college_year,Rk,School,Conf,wins,losses,win_pct,ConfW,ConfL,ConfPct,ppg_off,ppg_def,srs,sos,ap_pre,ap_high,ap_rank,Notes,ap_rank_score,pick_score,conf,conf_ACC,conf_Big 12,conf_Big Ten,conf_CUSA,conf_Ind,conf_MAC,conf_MWC,conf_Other,conf_Pac-10,conf_SEC,conf_Sun Belt,conf_WAC,power5
https://www.sports-reference.com/cfb/players/kenneth-crawley-1.html,297.0,,2016,CB,Ken Crawley,Colorado,3,72,187,4.43,36.5,,119.0,,,26,1,1,0,0,47,3,0,12,8.0,25,0.0,4,154,180,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,103.0,Colorado,Pac-12 (South),4.0,9.0,0.308,1.0,8.0,0.111,24.6,27.5,-3.51,1.33,,,,,-0.452147410767536,-1.1243382315686392,Pac-10,0,0,0,0,0,0,0,0,1,0,0,0,1
https://www.sports-reference.com/cfb/players/ken-dorsey-1.html,241.0,SFO,2003,QB,Ken Dorsey,Miami (FL),5,77,208,4.7,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,1153,234.5,668,41,28,86,9565,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,22.0,Miami (FL),Big East,12.0,1.0,0.9229999999999999,7.0,0.0,1.0,40.5,19.1,20.35,3.04,1.0,1.0,2.0,,2.1212793024540026,-0.863323064888497,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
https://www.sports-reference.com/cfb/players/ken-ekanem-1.html,295.5,,2017,DE,Ken Ekanem,Virginia Tech,1,75,257,4.88,30.5,,115.0,7.38,4.58,66,2,0,0,0,41,0,0,0,34.0,6,22.5,4,65,131,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,8.0,Virginia Tech,ACC (Coastal),10.0,4.0,0.7140000000000001,6.0,2.0,0.75,35.0,22.8,11.0,2.43,,16.0,16.0,,1.155069381413429,-1.1868314327558185,ACC,1,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/ken-hamlin-1.html,42.0,SEA,2003,FS,Ken Hamlin,Arkansas,0,74,209,4.61,33.0,16.0,117.0,6.8,3.92,0,0,0,0,0,36,9,0,66,0.0,0,0.0,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002,96.0,Arkansas,SEC (West),9.0,5.0,0.643,5.0,3.0,0.625,26.4,19.8,10.33,4.61,,22.0,,,0.4977729726019537,1.0782180584357988,SEC,0,0,0,0,0,0,0,0,0,1,0,0,1
https://www.sports-reference.com/cfb/players/ken-lucas-1.html,40.0,SEA,2001,CB,Ken Lucas,Ole Miss,5,72,200,4.45,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,44,0,248,21,3,0,78,24,0,326,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,105.0,Ole Miss,SEC (West),7.0,5.0,0.583,4.0,4.0,0.5,29.3,27.4,4.18,1.09,18.0,18.0,,,0.5516377296457827,1.102440367015165,SEC,0,0,0,0,0,0,0,0,0,1,0,0,1
https://www.sports-reference.com/cfb/players/ken-yon-rambo-1.html,229.0,OAK,2001,WR,Ken-Yon Rambo,Ohio State,5,73,196,4.34,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,47,9,1849,106,13,0,53,119,9,1902,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,33.0,Ohio State,Big Ten,8.0,4.0,0.667,5.0,3.0,0.625,27.6,18.5,10.97,4.13,16.0,6.0,,,0.5516377296457827,-0.7509168437373279,Big Ten,0,0,1,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/kenbrell-thompkins-1.html,289.0,,2013,WR,Kenbrell Thompkins,Cincinnati,0,73,193,4.54,33.5,8.0,121.0,6.88,4.21,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,26,4,1077,78,0,0,0,78,4,1077,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,24.0,Cincinnati,Big East,10.0,3.0,0.769,5.0,2.0,0.7140000000000001,32.3,18.5,8.71,-3.37,,21.0,,,0.5592369776119069,-1.4260768722728474,Other,0,0,0,0,0,0,0,1,0,0,0,0,0
https://www.sports-reference.com/cfb/players/kendall-fuller-1.html,84.0,WAS,2016,CB,Kendall Fuller,Virginia Tech,4,71,187,4.48,,15.0,,,,46,2,2,0,0,29,8,1,48,8.0,25,3.5,3,73,119,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,12.0,Virginia Tech,ACC (Coastal),7.0,6.0,0.5379999999999999,4.0,4.0,0.5,31.0,26.3,5.04,1.65,,,,,-0.452147410767536,0.6951576302296063,ACC,1,0,0,0,0,0,0,0,0,0,0,0,1
https://www.sports-reference.com/cfb/players/kendall-hunter-1.html,115.0,SFO,2011,RB,Kendall Hunter,Oklahoma State,0,67,199,4.46,35.0,24.0,122.0,6.74,4.21,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,519,63,708,37,4181,771,39,4700,4,0,0,2010,20.0,Oklahoma State,Big 12 (South),11.0,2.0,0.846,6.0,2.0,0.75,44.2,26.4,16.62,2.39,,10.0,13.0,,1.2402686793182185,0.4438613119262475,Big 12,0,1,0,0,0,0,0,0,0,0,0,0,0
https://www.sports-reference.com/cfb/players/kendall-newson-1.html,222.0,JAX,2002,WR,Kendall Newson,Middle Tennessee State,1,74,200,4.69,33.5,,117.0,6.87,4.27,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,33,17,2659,208,9,0,76,217,17,2735,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2001,101.0,Middle Tennessee State,Sun Belt,8.0,3.0,0.727,5.0,1.0,0.833,37.1,26.0,-2.32,-10.32,,,,,-0.47386914903587574,-0.518981582211196,Sun Belt,0,0,0,0,0,0,0,0,0,0,1,0,0
